accepted,calls,feedback,gap,gate,gens,knowledge,objective,private,roles,run,search,seconds,seed,stop,train,usd
6,20,score_only,-0.008688,public_only,20,off,quality,-0.032393526563922775,single_strong,00000-s1,greedy,237.0,1,budget: max_calls (20 >= 20),-0.02370571540714993,0.0603
2,20,score_only,0.0102,public_only,20,off,quality,-0.03520220072228365,single_strong,00000-s2,greedy,160.4,2,budget: max_calls (20 >= 20),-0.045402621242439614,0.0418
8,20,score_only,0.000661,public_only,20,off,quality,-0.018105560630253946,single_strong,00000-s3,greedy,194.1,3,budget: max_calls (20 >= 20),-0.018766595155973946,0.0533
2,20,score_only,-0.129627,public_only,20,off,quality,-0.17502980092618478,split_roles,00001-s1,greedy,338.2,1,budget: max_calls (20 >= 20),-0.045402621242439614,0.0269
5,20,score_only,0.012355,public_only,20,off,quality,-0.01727313262231941,split_roles,00001-s2,greedy,311.2,2,budget: max_calls (20 >= 20),-0.029628086163616806,0.0249
1,20,score_only,0.011069,public_only,20,off,quality,-0.03483224015189561,split_roles,00001-s3,greedy,791.1,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0617
1,20,score_only,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,single_strong,00010-s1,greedy,150.6,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0844
1,20,score_only,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,single_strong,00010-s2,greedy,145.0,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0843
1,20,score_only,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,single_strong,00010-s3,greedy,160.0,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0819
1,20,score_only,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,split_roles,00011-s1,greedy,199.1,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0377
1,20,score_only,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,split_roles,00011-s2,greedy,210.0,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0377
1,20,score_only,0.011069,public_only,20,wiki_fs,quality,-0.03483224015189561,split_roles,00011-s3,greedy,201.7,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0371
2,20,score_only,-0.137266,public_only,40,off,quality,-0.18217850220294743,single_strong,00100-s1,islands,143.3,1,budget: max_calls (20 >= 20),-0.04491242516400824,0.0319
6,20,score_only,0.016353,public_only,33,off,quality,-0.01777129590017711,single_strong,00100-s2,islands,181.3,2,budget: max_calls (20 >= 20),-0.034124420517112806,0.0431
7,20,score_only,0.018452,public_only,40,off,quality,-0.018591401531127847,single_strong,00100-s3,islands,187.2,3,budget: max_calls (20 >= 20),-0.03704369279886085,0.0523
2,20,score_only,0.010708,public_only,40,off,quality,-0.012493797704041461,split_roles,00101-s1,islands,433.9,1,budget: max_calls (20 >= 20),-0.02320212728935545,0.0285
3,20,score_only,-0.044166,public_only,23,off,quality,-0.08812824744801952,split_roles,00101-s2,islands,527.1,2,budget: max_calls (20 >= 20),-0.04396195212070958,0.0318
3,20,score_only,0.017819,public_only,40,off,quality,-0.020197264754407078,split_roles,00101-s3,islands,678.1,3,budget: max_calls (20 >= 20),-0.03801656606450943,0.0409
1,20,score_only,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,single_strong,00110-s1,islands,128.0,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0832
2,20,score_only,0.009644,public_only,40,wiki_fs,quality,-0.0357952759736177,single_strong,00110-s2,islands,129.9,2,budget: max_calls (20 >= 20),-0.04543965418354867,0.0844
1,20,score_only,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,single_strong,00110-s3,islands,126.8,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0847
1,20,score_only,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,split_roles,00111-s1,islands,274.3,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0374
1,20,score_only,0.011069,public_only,40,wiki_fs,quality,-0.03483224015189561,split_roles,00111-s2,islands,248.3,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0359
2,20,score_only,0.014469,public_only,40,wiki_fs,quality,-0.030955748811082262,split_roles,00111-s3,islands,295.8,3,budget: max_calls (20 >= 20),-0.04542427681890321,0.0387
7,20,score_only,0.008171,holdout,20,off,quality,-0.014564340276446035,single_strong,01000-s1,greedy,192.1,1,budget: max_calls (20 >= 20),-0.02273540698825439,0.0528
6,20,score_only,0.006998,holdout,20,off,quality,-0.0147517815394397,single_strong,01000-s2,greedy,222.3,2,budget: max_calls (20 >= 20),-0.021750014706388526,0.0601
4,20,score_only,-0.055796,holdout,20,off,quality,-0.07951859991831181,single_strong,01000-s3,greedy,172.9,3,budget: max_calls (20 >= 20),-0.02372253598302603,0.05
3,20,score_only,0.017405,holdout,20,off,quality,-0.021140973042380266,split_roles,01001-s1,greedy,447.0,1,budget: max_calls (20 >= 20),-0.038545734328790215,0.0318
4,20,score_only,0.019418,holdout,20,off,quality,-0.014647199209895552,split_roles,01001-s2,greedy,441.3,2,budget: max_calls (20 >= 20),-0.034065070841614795,0.0375
2,20,score_only,-0.021951,holdout,20,off,quality,-0.06641007808026837,split_roles,01001-s3,greedy,402.5,3,budget: max_calls (20 >= 20),-0.044459464558520526,0.0389
1,20,score_only,0.011069,holdout,20,wiki_fs,quality,-0.03483224015189561,single_strong,01010-s1,greedy,136.9,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.085
2,20,score_only,0.010591,holdout,20,wiki_fs,quality,-0.034346421673380576,single_strong,01010-s2,greedy,160.6,2,budget: max_calls (20 >= 20),-0.04493763765424433,0.0939
2,20,score_only,0.011069,holdout,20,wiki_fs,quality,-0.03483224015189561,single_strong,01010-s3,greedy,126.9,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0823
1,20,score_only,0.011069,holdout,20,wiki_fs,quality,-0.03483224015189561,split_roles,01011-s1,greedy,180.3,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0363
2,20,score_only,0.011069,holdout,20,wiki_fs,quality,-0.03483224015189561,split_roles,01011-s2,greedy,184.4,2,budget: max_calls (20 >= 20),-0.0459013743596466,0.0364
1,20,score_only,0.011069,holdout,20,wiki_fs,quality,-0.03483224015189561,split_roles,01011-s3,greedy,193.0,3,budget: max_calls (20 >= 20),-0.0459013743596466,0.0368
5,20,score_only,0.015462,holdout,40,off,quality,-0.01810588253540603,single_strong,01100-s1,islands,200.1,1,budget: max_calls (20 >= 20),-0.03356776093563846,0.052
8,20,score_only,-0.044838,holdout,40,off,quality,-0.0680955143978224,single_strong,01100-s2,islands,215.0,2,budget: max_calls (20 >= 20),-0.023257754926665337,0.0515
3,20,score_only,0.010402,holdout,40,off,quality,-0.035497711820285896,single_strong,01100-s3,islands,166.0,3,budget: max_calls (20 >= 20),-0.04590013368025056,0.0411
3,20,score_only,0.011069,holdout,40,off,quality,-0.03483224015189561,split_roles,01101-s1,islands,330.1,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0237
3,20,score_only,0.013088,holdout,40,off,quality,-0.02295161497090372,split_roles,01101-s2,islands,335.7,2,budget: max_calls (20 >= 20),-0.03603941231911903,0.0275
5,20,score_only,0.010151,holdout,40,off,quality,-0.03330303058910366,split_roles,01101-s3,islands,357.6,3,budget: max_calls (20 >= 20),-0.043454439432892386,0.03
1,20,score_only,0.011069,holdout,40,wiki_fs,quality,-0.03483224015189561,single_strong,01110-s1,islands,139.0,1,budget: max_calls (20 >= 20),-0.0459013743596466,0.0831
2,20,score_only,-0.024299,holdout,40,wiki_fs,quality,-0.06275161500599602,single_strong,01110-s2,islands,155.6,2,budget: max_calls (20 >= 20),-0.03845212657265036,0.0862
